Name,State,Control,Region,Enrollment
Mercy College of Health Sciences,IA,Private,Midwest,755
Mills College,CA,Private,West,757
Clarke University,IA,Private,Midwest,757
Cairn University-Langhorne,PA,Private,Northeast,757
University of Saint Joseph,CT,Private,Northeast,759
Truett McConnell University,GA,Private,Southeast,760
Westminster College,MO,Private,Midwest,764
Paul Smiths College of Arts and Science,NY,Private,Northeast,767
City University of Seattle,WA,Private,West,767
Central Christian College of Kansas,KS,Private,Midwest,768
Boricua College,NY,Private,Northeast,769
Goldey-Beacom College,DE,Private,Northeast,770
Jefferson College of Health Sciences,VA,Private,Southeast,771
Metropolitan College of New York,NY,Private,Northeast,772
Dakota Wesleyan University,SD,Private,Midwest,774
Oregon Health & Science University,OR,Public,West,776
Heritage University,WA,Private,West,778
College of Saint Mary,NE,Private,Midwest,780
Southwestern Adventist University,TX,Private,West,780
Talladega College,AL,Private,Southeast,782
University of Oklahoma-Health Sciences Center,OK,Public,West,786
Tougaloo College,MS,Private,Southeast,789
Davis & Elkins College,WV,Private,Southeast,791
Martin Luther College,MN,Private,Midwest,797
Emmanuel College,GA,Private,Southeast,800
University of Maine at Presque Isle,ME,Public,Northeast,800
Millsaps College,MS,Private,Southeast,801
Milligan College,TN,Private,Southeast,806
Haskell Indian Nations University,KS,Public,Midwest,806
The University of Texas Health Science Center at San Antonio,TX,Public,West,807
Notre Dame of Maryland University,MD,Private,Northeast,808
Johnson University,TN,Private,Southeast,808
Pfeiffer University,NC,Private,Southeast,813
Salem College,NC,Private,Southeast,813
Union Institute & University,OH,Private,Midwest,813
Concordia University-Ann Arbor,MI,Private,Midwest,815
Samuel Merritt University,CA,Private,West,821
Greensboro College,NC,Private,Southeast,821
Pennsylvania State University-Penn State Lehigh Valley,PA,Public,Northeast,823
Thomas College,ME,Private,Northeast,825
Mayville State University,ND,Public,Midwest,825
Wright State University-Lake Campus,OH,Public,Midwest,828
New College of Florida,FL,Public,Southeast,835
Cazenovia College,NY,Private,Northeast,836
Harvey Mudd College,CA,Private,West,844
Martin Methodist College,TN,Private,Southeast,845
University of Nebraska Medical Center,NE,Public,Midwest,849
Toccoa Falls College,GA,Private,Southeast,851
University of Connecticut-Waterbury Campus,CT,Public,Northeast,851
University of Science and Arts of Oklahoma,OK,Public,West,852
Crown College,MN,Private,Midwest,853
Cooper Union for the Advancement of Science and Art,NY,Private,Northeast,854
Goshen College,IN,Private,Midwest,855
Rust College,MS,Private,Southeast,860
Nebraska Methodist College of Nursing & Allied Health,NE,Private,Midwest,861
Jarvis Christian College,TX,Private,West,861
Wabash College,IN,Private,Midwest,862
Le Moyne-Owen College,TN,Private,Southeast,862
University of North Carolina School of the Arts,NC,Public,Southeast,867
The Southern Baptist Theological Seminary,KY,Private,Southeast,873
Fontbonne University,MO,Private,Midwest,874
Bluefield College,VA,Private,Southeast,874
Barton College,NC,Private,Southeast,877
Southern Virginia University,VA,Private,Southeast,877
Mount Carmel College of Nursing,OH,Private,Midwest,878
Walsh College,MI,Private,Midwest,880
Rocky Mountain College,MT,Private,West,884
Albany College of Pharmacy and Health Sciences,NY,Private,Northeast,886
Philander Smith College,AR,Private,Southeast,887
Agnes Scott College,GA,Private,Southeast,890
Bryan College-Dayton,TN,Private,Southeast,892
North Central University,MN,Private,Midwest,893
University of Jamestown,ND,Private,Midwest,896
Quincy University,IL,Private,Midwest,898
Pennsylvania State University-Penn State York,PA,Public,Northeast,899
Elmira College,NY,Private,Northeast,908
Averett University,VA,Private,Southeast,908
Brescia University,KY,Private,Southeast,911
Northwest University,WA,Private,West,911
Converse College,SC,Private,Southeast,916
Oregon State University-Cascades Campus,OR,Public,West,917
University of Maryland Baltimore,MD,Public,Northeast,918
William Woods University,MO,Private,Midwest,919
Howard Payne University,TX,Private,West,919
Lees-McRae College,NC,Private,Southeast,920
Louisiana State University Health Sciences Center-New Orleans,LA,Public,Southeast,921
University of Providence,MT,Private,West,923
Notre Dame de Namur University,CA,Private,West,924
St. Joseph's College-New York,NY,Private,Northeast,924
William Peace University,NC,Private,Southeast,927
Briar Cliff University,IA,Private,Midwest,928
William Jewell College,MO,Private,Midwest,928
Tennessee Wesleyan University,TN,Private,Southeast,928
Marymount California University,CA,Private,West,929
LaGrange College,GA,Private,Southeast,930
Bacone College,OK,Private,West,934
Louisiana College,LA,Private,Southeast,935
Alderson Broaddus University,WV,Private,Southeast,935
The College of Idaho,ID,Private,West,936
Greenville University,IL,Private,Midwest,944
Edward Waters College,FL,Private,Southeast,946
Illinois College,IL,Private,Midwest,947
Presbyterian College,SC,Private,Southeast,947
Huntington University,IN,Private,Midwest,949
United States Merchant Marine Academy,NY,Public,Northeast,954
St. Thomas University,FL,Private,Southeast,958
California Institute of Technology,CA,Private,West,961
Colby-Sawyer College,NH,Private,Northeast,963
Corban University,OR,Private,West,963
Marietta College,OH,Private,Midwest,964
Transylvania University,KY,Private,Southeast,965
Regis College,MA,Private,Northeast,965
Texas College,TX,Private,West,966
Hiram College,OH,Private,Midwest,967
Saint Augustine's University,NC,Private,Southeast,974
Emory & Henry College,VA,Private,Southeast,977
Franklin College,IN,Private,Midwest,978
California Institute of the Arts,CA,Private,West,979
Warner University,FL,Private,Southeast,981
Chatham University,PA,Private,Northeast,981
Wisconsin Lutheran College,WI,Private,Midwest,982
Union College,KY,Private,Southeast,984
Covenant College,GA,Private,Southeast,986
Rochester College,MI,Private,Midwest,987
Midway University,KY,Private,Southeast,989
Pennsylvania State University-Penn State Scranton,PA,Public,Northeast,1003
Cornell College,IA,Private,Midwest,1004
Oklahoma Wesleyan University,OK,Private,West,1006
Monmouth College,IL,Private,Midwest,1010
Valley City State University,ND,Public,Midwest,1010
Lyndon State College,VT,Public,Northeast,1011
Coker College,SC,Private,Southeast,1012
Northwestern College,IA,Private,Midwest,1014
Rockford University,IL,Private,Midwest,1018
Maine Maritime Academy,ME,Public,Northeast,1018
Oklahoma Panhandle State University,OK,Public,West,1020
Young Harris College,GA,Private,Southeast,1021
Woodbury University,CA,Private,West,1023
Columbus College of Art and Design,OH,Private,Midwest,1024
Houghton College,NY,Private,Northeast,1026
Earlham College,IN,Private,Midwest,1027
Trinity Christian College,IL,Private,Midwest,1028
Georgetown College,KY,Private,Southeast,1029
Culver-Stockton College,MO,Private,Midwest,1029
McMurry University,TX,Private,West,1031
Lourdes University,OH,Private,Midwest,1036
University of Maine at Fort Kent,ME,Public,Northeast,1036
Judson University,IL,Private,Midwest,1037
Olivet College,MI,Private,Midwest,1039
United States Coast Guard Academy,CT,Public,Northeast,1044
Hampden-Sydney College,VA,Private,Southeast,1046
California State University Maritime Academy,CA,Public,West,1048
Heidelberg University,OH,Private,Midwest,1049
Loma Linda University,CA,Private,West,1050
Thomas University,GA,Private,Southeast,1050
Baptist Memorial College of Health Sciences,TN,Private,Southeast,1050
Huston-Tillotson University,TX,Private,West,1052
Ave Maria University,FL,Private,Southeast,1052
Otis College of Art and Design,CA,Private,West,1056
Mary Baldwin University,VA,Private,Southeast,1058
Scripps College,CA,Private,West,1059
Central Methodist University-College of Liberal Arts and Sciences,MO,Private,Midwest,1059
Montana State University-Northern,MT,Public,West,1062
Doane University-Arts & Sciences,NE,Private,Midwest,1068
Hodges University,FL,Private,Southeast,1069
Pitzer College,CA,Private,West,1074
Ohio Dominican University,OH,Private,Midwest,1077
Spalding University,KY,Private,Southeast,1080
Hanover College,IN,Private,Midwest,1082
Hastings College,NE,Private,Midwest,1082
Concordia College-New York,NY,Private,Northeast,1086
University of Pikeville,KY,Private,Southeast,1088
Eastern Mennonite University,VA,Private,Southeast,1089
Southwestern College,KS,Private,Midwest,1096
Huntingdon College,AL,Private,Southeast,1099
Newman University,KS,Private,Midwest,1103
Hood College,MD,Private,Northeast,1108
Friends University,KS,Private,Midwest,1110
Gallaudet University,DC,Private,Northeast,1111
St. Thomas Aquinas College,NY,Private,Northeast,1114
Anna Maria College,MA,Private,Northeast,1118
Albertus Magnus College,CT,Private,Northeast,1122
Ferrum College,VA,Private,Southeast,1122
Point University,GA,Private,Southeast,1126
College of Our Lady of the Elms,MA,Private,Northeast,1142
Livingstone College,NC,Private,Southeast,1143
Maryville College,TN,Private,Southeast,1151
Dickinson State University,ND,Public,Midwest,1153
Universidad Adventista de las Antillas,PR,Private,Territory,1162
Wilmington College,OH,Private,Midwest,1167
Franciscan Missionaries of Our Lady University,LA,Private,Southeast,1168
The Master's University and Seminary,CA,Private,West,1171
Florida Memorial University,FL,Private,Southeast,1173
Newberry College,SC,Private,Southeast,1173
Westminster College,PA,Private,Northeast,1174
University of Sioux Falls,SD,Private,Midwest,1174
Caribbean University-Bayamon,PR,Private,Territory,1175
Mount Saint Joseph University,OH,Private,Midwest,1177
Pacific Union College,CA,Private,West,1181
William Penn University,IA,Private,Midwest,1184
Mount Aloysius College,PA,Private,Northeast,1185
Schreiner University,TX,Private,West,1185
William Jessup University,CA,Private,West,1188
Lycoming College,PA,Private,Northeast,1192
Hartwick College,NY,Private,Northeast,1194
Central College,IA,Private,Midwest,1198
Malone University,OH,Private,Midwest,1200
Graceland University-Lamoni,IA,Private,Midwest,1208
Midland University,NE,Private,Midwest,1211
Virginia Union University,VA,Private,Southeast,1211
Austin College,TX,Private,West,1214
University of Alaska Southeast,AK,Public,West,1214
MidAmerica Nazarene University,KS,Private,Midwest,1215
Avila University,MO,Private,Midwest,1229
Oglethorpe University,GA,Private,Southeast,1232
Hendrix College,AR,Private,Southeast,1233
Concordia University-Nebraska,NE,Private,Midwest,1233
University of Connecticut-Hartford Campus,CT,Public,Northeast,1244
Wiley College,TX,Private,West,1246
The University of Virginia's College at Wise,VA,Public,Southeast,1249
Bethel College-Indiana,IN,Private,Midwest,1254
Mars Hill University,NC,Private,Southeast,1255
Manchester University,IN,Private,Midwest,1257
Saint Martin's University,WA,Private,West,1259
Shorter University,GA,Private,Southeast,1264
Hampshire College,MA,Private,Northeast,1264
Northwest Nazarene University,ID,Private,West,1268
University of the Sciences,PA,Private,Northeast,1268
Morningside College,IA,Private,Midwest,1270
Keystone College,PA,Private,Northeast,1274
The Sage Colleges,NY,Private,Northeast,1275
University of Mobile,AL,Private,Southeast,1276
Piedmont College,GA,Private,Southeast,1281
Birmingham Southern College,AL,Private,Southeast,1283
Dominican University of California,CA,Private,West,1284
Cardinal Stritch University,WI,Private,Midwest,1284
Westmont College,CA,Private,West,1285
Southern Wesleyan University,SC,Private,Southeast,1286
Alverno College,WI,Private,Midwest,1289
Dillard University,LA,Private,Southeast,1290
Haverford College,PA,Private,Northeast,1291
Pontifical Catholic University of Puerto Rico-Mayaguez,PR,Private,Territory,1294
University of Pittsburgh-Bradford,PA,Public,Northeast,1296
Roberts Wesleyan College,NY,Private,Northeast,1297
East Texas Baptist University,TX,Private,West,1298
Elizabeth City State University,NC,Public,Southeast,1301
West Virginia Wesleyan College,WV,Private,Southeast,1304
Nichols College,MA,Private,Northeast,1308
Carroll College,MT,Private,West,1309
La Roche University,PA,Private,Northeast,1312
AdventHealth University,FL,Private,Southeast,1316
Chestnut Hill College,PA,Private,Northeast,1317
Northern Vermont University,VT,Public,Northeast,1317
Freed-Hardeman University,TN,Private,Southeast,1319
Our Lady of the Lake University,TX,Private,West,1320
Catawba College,NC,Private,Southeast,1321
Beloit College,WI,Private,Midwest,1324
Glenville State College,WV,Public,Southeast,1326
Bryn Mawr College,PA,Private,Northeast,1328
Missouri Valley College,MO,Private,Midwest,1329
Geneva College,PA,Private,Northeast,1330
Claremont McKenna College,CA,Private,West,1334
American International College,MA,Private,Northeast,1336
Carlow University,PA,Private,Northeast,1339
Knox College,IL,Private,Midwest,1341
Texas Lutheran University,TX,Private,West,1341
Wesley College,DE,Private,Northeast,1342
College for Creative Studies,MI,Private,Midwest,1347
Kentucky State University,KY,Public,Southeast,1349
Coe College,IA,Private,Midwest,1350
Centenary University,NJ,Private,Northeast,1351
Charter Oak State College,CT,Public,Northeast,1352
Dordt College,IA,Private,Midwest,1353
Concordia University-Portland,OR,Private,West,1353
Sarah Lawrence College,NY,Private,Northeast,1355
New Mexico Institute of Mining and Technology,NM,Public,West,1358
Loras College,IA,Private,Midwest,1362
Bluefield State College,WV,Public,Southeast,1363
Massachusetts College of Liberal Arts,MA,Public,Northeast,1364
Pennsylvania State University-Penn State Brandywine,PA,Public,Northeast,1366
Virginia Wesleyan University,VA,Private,Southeast,1369
Juniata College,PA,Private,Northeast,1371
Waynesburg University,PA,Private,Northeast,1371
Spring Hill College,AL,Private,Southeast,1375
Washington & Jefferson College,PA,Private,Northeast,1378
Columbia College,SC,Private,Southeast,1378
Reinhardt University,GA,Private,Southeast,1381
Peirce College,PA,Private,Northeast,1381
Immaculata University,PA,Private,Northeast,1383
Nyack College,NY,Private,Northeast,1387
Southwestern University,TX,Private,West,1387
Peru State College,NE,Public,Midwest,1388
Alma College,MI,Private,Midwest,1392
Johnson C Smith University,NC,Private,Southeast,1392
The University of Montana-Western,MT,Public,West,1397
Thomas More College,KY,Private,Southeast,1399
Drew University,NJ,Private,Northeast,1404
Concordia University-Chicago,IL,Private,Midwest,1405
Simpson College,IA,Private,Midwest,1406
Rivier University,NH,Private,Northeast,1408
Universidad Central de Bayamon,PR,Private,Territory,1410
Dominican College of Blauvelt,NY,Private,Northeast,1413
Cedar Crest College,PA,Private,Northeast,1413
Kalamazoo College,MI,Private,Midwest,1415
Reed College,OR,Private,West,1415
Lane College,TN,Private,Southeast,1420
Harris-Stowe State University,MO,Public,Midwest,1423
Aquinas College,MI,Private,Midwest,1434
Florida Polytechnic University,FL,Public,Southeast,1438
Andrews University,MI,Private,Midwest,1439
Lubbock Christian University,TX,Private,West,1439
Randolph-Macon College,VA,Private,Southeast,1439
University of Dallas,TX,Private,West,1440
Centre College,KY,Private,Southeast,1441
Lawrence University,WI,Private,Midwest,1441
Grace College and Theological Seminary,IN,Private,Midwest,1447
Georgian Court University,NJ,Private,Northeast,1447
Washington College,MD,Private,Northeast,1449
Johnson & Wales University-North Miami,FL,Private,Southeast,1450
Ringling College of Art and Design,FL,Private,Southeast,1454
Baker University,KS,Private,Midwest,1465
Fisher College,MA,Private,Northeast,1466
Whitman College,WA,Private,West,1468
Saint Mary's University of Minnesota,MN,Private,Midwest,1471
California College of the Arts,CA,Private,West,1475
Medaille College,NY,Private,Northeast,1476
Colegio Universitario de San Juan,PR,Public,Territory,1480
Lake Forest College,IL,Private,Midwest,1483
Tusculum University,TN,Private,Southeast,1484
Ursinus College,PA,Private,Northeast,1485
Northern State University,SD,Public,Midwest,1488
Saint Mary's College,IN,Private,Midwest,1489
College of the Ozarks,MO,Private,Midwest,1491
Wartburg College,IA,Private,Midwest,1493
Saint Joseph's College of Maine,ME,Private,Northeast,1494
Chowan University,NC,Private,Southeast,1494
Marian University,WI,Private,Midwest,1495
Trinity Washington University,DC,Private,Northeast,1498
Notre Dame College,OH,Private,Midwest,1500
Belmont Abbey College,NC,Private,Southeast,1501
Mount Mercy University,IA,Private,Midwest,1502
Guilford College,NC,Private,Southeast,1502
Linfield College-McMinnville Campus,OR,Private,West,1503
Anderson University,IN,Private,Midwest,1506
Hillsdale College,MI,Private,Midwest,1511
Ouachita Baptist University,AR,Private,Southeast,1513
Miami University-Middletown,OH,Public,Midwest,1519
Southern Nazarene University,OK,Private,West,1520
Christian Brothers University,TN,Private,Southeast,1521
Edgewood College,WI,Private,Midwest,1521
University of Pittsburgh-Greensburg,PA,Public,Northeast,1521
Muskingum University,OH,Private,Midwest,1525
Goucher College,MD,Private,Northeast,1526
Cabrini University,PA,Private,Northeast,1536
Atlantic University College,PR,Private,Territory,1540
St. Mary's College of Maryland,MD,Public,Northeast,1544
Shaw University,NC,Private,Southeast,1545
Ohio Wesleyan University,OH,Private,Midwest,1549
University of Minnesota-Morris,MN,Public,Midwest,1554
Albion College,MI,Private,Midwest,1558
Mid-America Christian University,OK,Private,West,1561
McDaniel College,MD,Private,Northeast,1562
University of St Francis,IL,Private,Midwest,1563
Swarthmore College,PA,Private,Northeast,1565
Pomona College,CA,Private,West,1567
Gordon College,MA,Private,Northeast,1573
Lenoir-Rhyne University,NC,Private,Southeast,1573
St Bonaventure University,NY,Private,Northeast,1592
Texas A&M University-Texarkana,TX,Public,West,1593
Caldwell University,NJ,Private,Northeast,1596
Texas Tech University Health Sciences Center,TX,Public,West,1597
Queens University of Charlotte,NC,Private,Southeast,1602
John Brown University,AR,Private,Southeast,1606
Adrian College,MI,Private,Midwest,1609
Asbury University,KY,Private,Southeast,1610
Berea College,KY,Private,Southeast,1610
Walla Walla University,WA,Private,West,1610
Felician University,NJ,Private,Northeast,1616
Saint Vincent College,PA,Private,Northeast,1616
Alfred University,NY,Private,Northeast,1621
Oakwood University,AL,Private,Southeast,1623
Rockhurst University,MO,Private,Midwest,1623
Mount Vernon Nazarene University,OH,Private,Midwest,1623
Evangel University,MO,Private,Midwest,1627
Massachusetts Maritime Academy,MA,Public,Northeast,1627
Florida Institute of Technology-Online,FL,Private,Southeast,1629
Carson-Newman University,TN,Private,Southeast,1633
SUNY Maritime College,NY,Public,Northeast,1633
Meredith College,NC,Private,Southeast,1638
Keuka College,NY,Private,Northeast,1640
Montana Technological University,MT,Public,West,1640
Illinois Wesleyan University,IL,Private,Midwest,1642
Miles College,AL,Private,Southeast,1647
Elizabethtown College,PA,Private,Northeast,1647
Lancaster Bible College,PA,Private,Northeast,1647
Texas Wesleyan University,TX,Private,West,1656
Lebanon Valley College,PA,Private,Northeast,1658
Cumberland University,TN,Private,Southeast,1658
Seton Hill University,PA,Private,Northeast,1659
Grinnell College,IA,Private,Midwest,1660
Kenyon College,OH,Private,Midwest,1661
The University of the Arts,PA,Private,Northeast,1662
D'Youville College,NY,Private,Northeast,1664
Whittier College,CA,Private,West,1665
Hardin-Simmons University,TX,Private,West,1670
University of Connecticut-Stamford,CT,Public,Northeast,1670
Manhattanville College,NY,Private,Northeast,1674
Wofford College,SC,Private,Southeast,1675
College of Mount Saint Vincent,NY,Private,Northeast,1676
Saint Francis University,PA,Private,Northeast,1676
Granite State College,NH,Public,Northeast,1676
Wheaton College,MA,Private,Northeast,1678
Cornerstone University,MI,Private,Midwest,1681
The University of the South,TN,Private,Southeast,1683
Buena Vista University,IA,Private,Midwest,1692
Oklahoma City University,OK,Private,West,1692
Lasell College,MA,Private,Northeast,1696
Concordia University Texas,TX,Private,West,1703
Augustana University,SD,Private,Midwest,1704
Simmons University,MA,Private,Northeast,1708
Franklin Pierce University,NH,Private,Northeast,1710
Mississippi Valley State University,MS,Public,Southeast,1713
Saint Johns University,MN,Private,Midwest,1720
Brenau University,GA,Private,Southeast,1722
Virginia Military Institute,VA,Public,Southeast,1722
Southwestern Assemblies of God University,TX,Private,West,1730
Northwestern Oklahoma State University,OK,Public,West,1735
King University,TN,Private,Southeast,1736
University of Maine at Farmington,ME,Public,Northeast,1741
Maryland Institute College of Art,MD,Private,Northeast,1743
Nebraska Wesleyan University,NE,Private,Midwest,1748
Grand View University,IA,Private,Midwest,1753
Central Methodist University-College of Graduate and Extended Studies,MO,Private,Midwest,1756
Castleton University,VT,Public,Northeast,1757
National Louis University,IL,Private,Midwest,1758
Saint Michael's College,VT,Private,Northeast,1759
Western New Mexico University,NM,Public,West,1762
Wagner College,NY,Private,Northeast,1763
University of the Virgin Islands,VI,Public,Territory,1763
Allegheny College,PA,Private,Northeast,1764
University of St Thomas,TX,Private,West,1765
Connecticut College,CT,Private,Northeast,1766
Viterbo University,WI,Private,Midwest,1767
Daemen College,NY,Private,Northeast,1768
Mansfield University of Pennsylvania,PA,Public,Northeast,1770
Willamette University,OR,Private,West,1772
Central State University,OH,Public,Midwest,1772
Wittenberg University,OH,Private,Midwest,1780
Inter American University of Puerto Rico-Barranquitas,PR,Private,Territory,1784
Chaminade University of Honolulu,HI,Private,West,1785
Mount St. Mary's University,MD,Private,Northeast,1785
Bates College,ME,Private,Northeast,1787
Inter American University of Puerto Rico-Guayama,PR,Private,Territory,1789
SUNY College of Environmental Science and Forestry,NY,Public,Northeast,1790
University of Minnesota-Crookston,MN,Public,Midwest,1797
Becker College,MA,Private,Northeast,1800
Davidson College,NC,Private,Southeast,1800
LeTourneau University,TX,Private,West,1802
Pacific University,OR,Private,West,1809
University of Charleston,WV,Private,Southeast,1810
Bowdoin College,ME,Private,Northeast,1812
Massachusetts College of Art and Design,MA,Public,Northeast,1812
Northeastern University Lifelong Learning Network,MA,Private,Northeast,1814
Missouri Baptist University,MO,Private,Midwest,1819
New England College,NH,Private,Northeast,1819
Washington and Lee University,VA,Private,Southeast,1819
Concordia University-Irvine,CA,Private,West,1821
Lincoln Memorial University,TN,Private,Southeast,1821
Vanguard University of Southern California,CA,Private,West,1824
Benedictine College,KS,Private,Midwest,1826
University of Northwestern-St Paul,MN,Private,Midwest,1827
Concord University,WV,Public,Southeast,1830
Bloomfield College,NJ,Private,Northeast,1833
Amherst College,MA,Private,Northeast,1835
Spring Arbor University,MI,Private,Midwest,1835
Marywood University,PA,Private,Northeast,1835
Lakeland University,WI,Private,Midwest,1835
Eastern University,PA,Private,Northeast,1837
University of Saint Francis-Fort Wayne,IN,Private,Midwest,1840
Bard College,NY,Private,Northeast,1846
Emmanuel College,MA,Private,Northeast,1848
